From,To,Bandwidth
-1,0,11.9556544780527
0,0,383.86888404846
0,1,24.2384853055984
0,2,24.2336340982501
0,3,48.4161332847793
0,4,8.50896302754308
0,5,8.5099870084499
0,6,48.4018859817334
0,7,8.49216625212189
-1,1,11.9548313139581
1,0,24.2428107975716
1,1,357.20815754871
1,2,48.4009870766239
1,3,24.2308931605693
1,4,8.49467301822259
1,5,8.49454882752103
1,6,8.49501926601968
1,7,48.4279906039737
-1,2,11.9551411851966
2,0,24.2400261945531
2,1,48.4081836173467
2,2,327.568138199876
2,3,48.4038366333844
2,4,24.2346142488113
2,5,8.49529671474821
2,6,8.50965302763833
2,7,8.49319586804279
-1,3,11.9555895153174
3,0,48.3885454709329
3,1,24.2358898759727
3,2,48.4383459407071
3,3,328.504745610336
3,4,8.49362530669834
3,5,24.2401028063604
3,6,8.49529187537091
3,7,8.51084932891115
-1,4,11.9539720643538
4,0,8.6911203699105
4,1,8.6964751789896
4,2,24.2286754892887
4,3,8.69462680199385
4,4,323.981911789954
4,5,48.4153822984349
4,6,24.2334853323273
4,7,48.4101347766449
-1,5,11.9552434142836
5,0,8.69790326565072
5,1,8.67850140654624
5,2,8.67702246508929
5,3,24.2314181125966
5,4,48.4026365494416
5,5,324.553934889375
5,6,48.4225874882748
5,7,24.2296136852879
-1,6,11.9552604526348
6,0,48.4221332796503
6,1,8.68096050484178
6,2,8.69531344343351
6,3,8.69406528989518
6,4,24.235664498114
6,5,48.4475077690316
6,6,325.371725519625
6,7,24.2306678756329
-1,7,11.9556086845757
7,0,8.67635273106109
7,1,48.1619866240754
7,2,8.67483471355078
7,3,8.69406022141015
7,4,48.417635327363
7,5,24.2311928178987
7,6,24.2271732148561
7,7,328.22181942038